"hotel_name","city","address","rating","top_attractions","Restaurants & cafes","Public transit","Closest Airports","Parking","Languages Spoken","Check_in","Check_out","Pets_allowance","facilities"
"Trendy West Town Flat - 2 bed / 1.5 bath w parking","Chicago","1836 West Superior Street 1F, Chicago, IL 60622, United States Excellent location – rated 9.4/10!","9.7","['Cloud Gate – The Bean\n5 km', 'Millennium Park\n5 km', 'Navy Pier\n5 km', 'Field Museum of Natural History\n7 km', 'Chicago History Museum\n5 km', 'Grant Park\n6 km', 'Buckingham Memorial Fountain\n6 km', 'Charnley-Persky House Museum\n5 km', 'Art Institute of Chicago\n5 km', 'Lincoln Park Zoo\n6 km']","[""RestaurantNaty's Pizza\n150 m"", 'RestaurantBarcocina West Town\n250 m', ""RestaurantDona Naty's Taco\n150 m""]","['TrainWestern Avenue 1.9 km', 'SubwayDivision 1.5 km', 'TrainClybourn 2.9 km', 'SubwayAshland 1.6 km']","[""Chicago O'Hare International Airport\n25 km"", 'Midway International Airport\n16 km']","False","[]","From 3:00 PM","Until 11:00 AM","False","['Free Wifi', 'Terrace', 'Laundry', 'Family rooms', 'Non-smoking rooms', 'Free parking']"
"Top Floor in the Heart of West Town! Perfect for Any Group and PET FRIENDLY! apts","Chicago","Chicago, 60642, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['Chicago History Museum\n4.7 km', 'Art Institute of Chicago\n4.9 km', 'Millennium Park\n4.6 km', 'Navy Pier\n5 km', 'Lincoln Park Zoo\n5 km', 'Charnley-Persky House Museum\n4.6 km', 'Grant Park\n5 km', 'Field Museum of Natural History\n6 km', 'Cloud Gate – The Bean\n4.6 km', 'Buckingham Memorial Fountain\n5 km']","['RestaurantBellas Pizzeria\n150 m', 'RestaurantOpart Thai House\n200 m', ""RestaurantBartoli's Pizzeria\n150 m""]","['TrainWestern Avenue 2.4 km', 'SubwayChicago 1.1 km', 'TrainClybourn 2.6 km', 'SubwayDivision 1 km']","[""Chicago O'Hare International Airport\n25 km"", 'Midway International Airport\n16 km']","False","['English']","From 4:00 PM to 12:00 AM","From 12:00 AM to 10:00 AM","True","['Parking', 'Free Wifi', 'Non-smoking rooms']"
"Tagus Life Apartment","Lisbon","Avenida da Peregrinação N3, 5º B, Parque das Nacoes, 1990-378 Lisbon, Portugal Excellent location – rated 9.2/10!","9.1","['Praca da Figueira\n10 km', 'Rossio Square\n10 km', 'Calouste Gulbenkian Museum\n9 km', 'Commerce Square\n10 km', 'Torel Garden\n10 km', 'Fado Museum\n9 km', 'Lisbon Zoo\n9 km', ""St. George's Castle\n10 km"", 'Eduardo VII Park\n10 km', 'Lisbon Water Museum\n8 km']","['RestaurantMar - Mariscaria Peixaria\n50 m', 'RestaurantAbacalhoar\n50 m', 'RestaurantA Padaria Portuguesa\n350 m']","['TrainSacavém 2 km', 'TrainMoscavide Train Station 850 m', 'SubwayMoscavide Metro Station 1.5 km', 'BusSete Rios Bus Station 9 km', 'SubwayOriente Metro Station 2.1 km']","['Cascais Municipal Airport\n29 km', 'Humberto Delgado Airport\n3.6 km']","False","['French', 'Spanish', 'English', 'Portuguese']","From 2:00 PM to 8:00 PM","From 5:00 AM to 12:00 PM","False","['Free Wifi', 'Air conditioning', 'Heating', 'Designated smoking area', 'Elevator', 'Laundry', 'Family rooms', 'Non-smoking rooms', 'Free parking']"
"Meliá Lisboa Aeroporto","Lisbon","Rua C, Aeroporto Internacional de Lisboa, Olivais, 1700-008 Lisbon, Portugal Excellent location – rated 9.7/10!","9.0","['Calouste Gulbenkian Museum\n5 km', 'Lisbon Water Museum\n7 km', 'Vasco da Gama Bridge\n4.1 km', 'Commerce Square\n7 km', 'Eduardo VII Park\n6 km', ""St. George's Castle\n7 km"", 'Lisbon Zoo\n6 km', 'Torel Garden\n6 km', 'Rossio Square\n7 km']","['Cafe/BarSTARBUCKS\n400 m', 'RestaurantClocks-Humberto Delgado\n300 m', 'Cafe/BarStarbucks\n550 m']","['BusSete Rios Bus Station 6 km', 'SubwayEncarnacao Metro Station 1.4 km', 'TrainChelas Train Station 2.7 km', 'SubwayLisbon Airport Metro 400 m', 'TrainMoscavide Train Station 3 km']","['Humberto Delgado Airport\n250 m', 'Cascais Municipal Airport\n26 km']","False","['French', 'Spanish', 'English', 'Portuguese']","From 3:00 PM to 12:00 AM","Until 12:00 PM","False","['Tea/Coffee Maker in All Rooms', '2 swimming pools', 'Free Wifi', 'Bar', 'Excellent Breakfast', 'Airport shuttle (free)', 'Spa', 'Parking on site', 'Family rooms', 'Non-smoking rooms']"
"Cozy 1BR Apartment in Estrela | By Airnest","Lisbon","1200-601 Lisbon, Portugal After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['Adamastor\n1.1 km', 'Rossio Square\n2.1 km', ""St. George's Castle\n3 km"", 'Lisbon Oceanarium\n10 km', 'Sao Pedro de Alcantara Belvedere\n1.5 km', 'Santa Catarina Viewpoint\n1.1 km', 'Commerce Square\n2.2 km', 'Torel Garden\n1.9 km', 'Carmo Fountain\n1.9 km', 'Carmo Convent\n1.9 km']","['RestaurantÀ Caseta\n150 m', 'RestaurantOh Linda Perspective Lda\n200 m', 'RestaurantSenhor Uva\n250 m']","['TrainCalçada da Estrela/Rua Doutor Teófilo Braga 150 m', 'BusSete Rios Bus Station 4 km', 'SubwayRato Metro Station 900 m', 'SubwayEstrela 250 m', 'TrainCalçada da Estrela/Rua Borges Carneiro 150 m']","['Cascais Municipal Airport\n20 km', 'Humberto Delgado Airport\n6 km']","False","['Convento de Nossa Senhora de Jesus750 m', 'Lisbon Botanical Garden900 m', 'Palácio Palmela900 m', 'Academia Das Ciências900 m', 'Parque da Bela Vista750 m', 'Chafariz Da Esperança700 m', 'Palácio Almada-Carvalhais850 m', 'Convento das Trinas de Mocambo900 m', 'English', 'Portuguese', 'Chafariz do Rato950 m', 'Estrela Garden350 m']","From 3:00 PM to 12:00 AM","Until 11:00 AM","True","['Free Wifi']"
"EPIC SANA Lisboa Hotel","Lisbon","Av. Engenheiro Duarte Pacheco, 15, Santo Antonio, 1070-100 Lisbon, Portugal After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","9.3","['Rossio Square\n2.4 km', 'Torel Garden\n2 km', 'Sao Pedro de Alcantara Belvedere\n2 km', 'Estrela Garden\n1.5 km', 'Lisbon Oceanarium\n8 km', 'Calouste Gulbenkian Museum\n2 km', 'Commerce Square\n3.1 km', 'Lisbon Botanical Garden\n1.6 km', ""St. George's Castle\n3.6 km"", 'Santa Catarina Viewpoint\n2.2 km']","['RestaurantSó Peso\n150 m', 'RestaurantFlor de Lis\n0 m', 'RestaurantOutof\n100 m']","['SubwayRato Metro Station 800 m', 'TrainRua das Amoreiras 200 m', 'BusSete Rios Bus Station 2.5 km', 'SubwayMarques de Pombal Metro Station 700 m', 'TrainAvenida Conselheiro Fernando Sousa 200 m']","['Humberto Delgado Airport\n5 km', 'Cascais Municipal Airport\n19 km']","False","['French', 'Spanish', 'English', 'Portuguese']","From 3:00 PM","Until 12:00 PM","True","['Airport shuttle', 'Fitness center', '2 swimming pools', 'Free Wifi', 'Bar', 'Wonderful Breakfast', 'Spa', 'Parking on site', 'Family rooms', 'Non-smoking rooms']"
"Vincci Baixa","Lisbon","Rua Do Comercio, 32-38, Santa Maria Maior, 1100-150 Lisbon, Portugal Excellent location – rated 9.7/10!","8.7","['Rossio Square\n700 m', 'Lisbon Oceanarium\n7 km', 'Carmo Fountain\n700 m', 'Praca da Figueira\n550 m', ""St. George's Castle\n850 m"", 'Fado Museum\n850 m', 'Sao Pedro de Alcantara Belvedere\n1.4 km', 'Santa Catarina Viewpoint\n1.2 km', 'Carmo Convent\n700 m', 'Santa Justa Elevator\n600 m']","['RestaurantCr7 Corner\n20 m', 'Cafe/BarMuseu da Cerveja\n50 m', 'Cafe/BarPortologia Lisboa, la Maison des Porto\n50 m']","['SubwayBaixa/Chiado Metro – Baixa 600 m', 'TrainIgreja de Santa Maria Madalena 100 m', 'BusSete Rios Bus Station 4.9 km', 'SubwayTerreiro do Paço Metro Station 450 m', 'TrainPraça do Comércio 50 m']","['Humberto Delgado Airport\n7 km', 'Cascais Municipal Airport\n22 km']","False","['French', 'Spanish', 'English', 'Portuguese']","From 3:00 PM","Until 12:00 PM","False","['Airport shuttle', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Family rooms', 'Restaurant', 'Very Good Breakfast', 'Non-smoking rooms', 'Parking', '24-hour front desk']"
"Days Inn by Wyndham Flint/Bishop International Airport","Vienna","2325 Austins Pkwy, Flint, 48507, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","3.8","[]","[""RestaurantArby's\n750 m"", 'RestaurantPopeyes Louisiana Kitchen\n800 m', 'RestaurantQdoba\n400 m']","['TrainFlint 10 km']","['Bishop International Airport\n6 km', 'Oakland County International\n50 km', 'MBS International Airport\n78 km']","False","[]","From 3:00 PM","Until 11:00 AM","True","['Facilities for disabled guests', 'Fitness center', 'Free Wifi', 'Breakfast', 'Non-smoking rooms', 'Indoor swimming pool', 'Free parking']"
"Hilton Garden Inn Flint Downtown","Vienna","110 W. Kearsley St., Flint, MI 48502, United States Excellent location – rated 9.3/10!","9.0","[]","['RestaurantBrown Sugar Cafe\n100 m', ""RestaurantHoffman's Deco Deli & Cafe\n100 m"", 'Cafe/BarLoft\n150 m']","['TrainFlint 4.6 km']","['Oakland County International\n51 km', 'MBS International Airport\n81 km', 'Bishop International Airport\n8 km']","False","['English']","From 3:00 PM","Until 11:00 AM","False","['Facilities for disabled guests', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Breakfast', 'Private Parking', 'Restaurant', 'Non-smoking rooms']"
"Charming Flushing Cottage with Deck and Spacious Yard!","Vienna","Flushing, 48433, United States Excellent location – rated 10/10!","10","[]","[""RestaurantJack's Place\n4.7 km"", ""RestaurantGina's Pizza\n3.8 km"", 'RestaurantLittle Caesars\n4.7 km']","[]","['Bishop International Airport\n19 km', 'Oakland County International\n68 km', 'MBS International Airport\n63 km']","False","[]","From 4:00 PM","Until 11:00 AM","False","['Parking on site', 'Free Wifi', 'Non-smoking rooms']"
"2 Mi to Downtown Flushing Spacious Retreat!","Vienna","Flint, 48433, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","[]","['RestaurantWing Garden\n20 m', ""RestaurantMilano's Pizza\n20 m"", ""RestaurantMcDonald's\n300 m""]","['TrainFlint 16 km']","['Bishop International Airport\n12 km', 'Oakland County International\n61 km', 'MBS International Airport\n73 km']","False","[]","From 3:00 PM","Until 11:00 AM","True","['Parking on site', 'Free Wifi', 'Non-smoking rooms']"
"Americinn by Wyndham Birch Run - Frankenmuth","Vienna","9087 East Birch Run Road, Birch Run, MI 48415, United States After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","7.0","[]","['RestaurantFireside Lounge\n150 m', 'RestaurantSUBWAY\n150 m', 'RestaurantPita Pit\n150 m']","[]","['MBS International Airport\n48 km', 'Oakland County International\n79 km', 'Bishop International Airport\n35 km']","False","['English']","From 3:00 PM","Until 11:00 AM","True","['Facilities for disabled guests', 'Fitness center', 'Free Wifi', 'Breakfast', 'Non-smoking rooms', 'Indoor swimming pool', 'Free parking']"
"InterContinental Budapest by IHG","Budapest","1052 Budapest, Apaczai Csere Janos utca 12-14., Hungary Excellent location – rated 9.8/10!","8.8","['Citadella\n2.1 km', 'Hungarian National Museum\n1.6 km', 'Liberty Bridge\n1.6 km', 'Blaha Lujza Square\n2 km', 'Margaret Island Japanese Garden\n4.7 km', ""Heroes' Square\n3.3 km"", 'Gellért Hill\n2.2 km', 'House of Terror\n1.9 km', 'Trinity Square\n1.5 km']","['Cafe/BarLas Vegas casino\n100 m', 'Cafe/BarIntercontinental - Corso bár\n40 m', 'RestaurantJohn Bull sport pub\n50 m']","['SubwayVigadó tér 250 m', 'SubwayVorosmarty Square Metro Station 350 m', 'TrainClark Ádám tér 800 m', 'TrainSzent György tér 1.3 km']","['Budapest Ferenc Liszt International Airport\n14 km']","False","[]","From 3:00 PM to 6:00 PM","From 6:00 AM to 12:00 PM","False","['Airport shuttle', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Private Parking', 'Wonderful Breakfast', 'Spa', 'Family rooms', 'Non-smoking rooms', 'Indoor swimming pool']"
"Apple Tree Apartment","Budapest","1077 Budapest, Almássy tér 17, Hungary Excellent location – rated 9.4/10!","","[]","[]","[]","[]","False","['Vecsés', 'Budapest', 'Érd']","From 3:00 PM to 10:00 PM","Until 10:00 AM","False","['Airport shuttle', 'Free Wifi', 'Heating', 'Elevator', 'Non-smoking rooms', 'Parking']"
"Hotel Vision Budapest by Continental Group","Budapest","1056 Budapest, 24 Belgrád rakpart, Hungary Excellent location – rated 9.8/10!","","['House of Terror\n2.4 km', 'Gellért Hill\n1.5 km', ""Fisherman's Bastion\n2.3 km"", 'Buda Castle\n1.6 km', 'Budapest History Museum\n1.6 km', 'Margaret Island Japanese Garden\n5 km', 'Chain Bridge\n1.4 km', 'Blaha Lujza Square\n1.7 km', 'Trinity Square\n2.4 km', ""Heroes' Square\n3.9 km""]","['RestaurantKolbász Box\n100 m', 'RestaurantTapas Fino\n20 m', 'Cafe/BarCapella café\n40 m']","['SubwayFerenciek Tere Metro Station 400 m', 'TrainSzent György tér 2 km', 'TrainClark Ádám tér 1.7 km', 'SubwayFővám Square Metro Station 600 m']","['Budapest Ferenc Liszt International Airport\n13 km']","False","[]","From 2:00 PM to 12:00 AM","From 12:00 AM to 12:00 PM","False","['Airport shuttle', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Excellent Breakfast', 'Family rooms', 'Restaurant', 'Non-smoking rooms', 'Free parking', '24-hour front desk']"
"Áurea Ana Palace by Eurostars Hotel Company","Budapest","1054 Budapest, 15 Akadémia utca 15-17, Hungary Excellent location – rated 9.6/10!","","['Margaret Island Japanese Garden\n3.9 km', 'Trinity Square\n1.8 km', 'Blaha Lujza Square\n2.4 km', 'Citadella\n2.7 km', ""Heroes' Square\n3.2 km"", 'Hungarian National Museum\n2.1 km', 'Gellért Hill\n2.8 km', ""Fisherman's Bastion\n1.7 km"", 'House of Terror\n1.9 km']","['RestaurantHanoi Pho Vietnámi étterem\n50 m', 'RestaurantKutka büfé\n50 m', 'RestaurantCafe Santo\n50 m']","['SubwayKossuth Lajos Square Metro Station 400 m', 'SubwayArany János utca 650 m', 'TrainBKK-FUTÁR 1.9 km', 'TrainBatthyány tér 1.9 km']","['Budapest Ferenc Liszt International Airport\n14 km']","False","[]","From 3:00 PM to 12:00 AM","Until 12:00 PM","False","['Airport shuttle', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Wonderful Breakfast', 'Spa', 'Family rooms', 'Restaurant', 'Non-smoking rooms']"
"Hotel Central Basilica","Budapest","1051 Budapest, Hercegprimás utca 8., Hungary Excellent location – rated 9.8/10!","","['Trinity Square\n2 km', 'Buda Castle\n1.9 km', 'Budapest History Museum\n1.8 km', ""Heroes' Square\n2.8 km"", 'Castle Garden Bazaar\n1.7 km', 'Blaha Lujza Square\n1.7 km', 'Hungarian National Museum\n1.4 km', ""Fisherman's Bastion\n1.9 km"", 'Gellért Hill\n2.5 km', 'Citadella\n2.4 km']","['Cafe/BarCafé Kafka\n10 m', 'Cafe/BarStarbucks\n8 m', 'RestaurantBusó bisztró\n0 m']","['SubwayBajcsy-Zsilinszky út 250 m', 'TrainClark Ádám tér 1.3 km', 'SubwayDeak Ferenc Square Metro Station 100 m', 'TrainSzent György tér 1.8 km']","['Budapest Ferenc Liszt International Airport\n14 km']","False","[]","From 2:00 PM","Until 11:00 AM","False","['Airport shuttle', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Heating', 'Daily housekeeping', 'Elevator', 'Family rooms', 'Non-smoking rooms', 'Good Breakfast', '24-hour front desk']"
"Nestled Romance, Buda's Hilltop Heaven","Amsterdam","1118 Budapest, Kelenhegyi út 31b, Hungary After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","8.7","['Museum of Applied Arts\n2.2 km', 'Buda Castle\n2.4 km', ""Heroes' Square\n5 km"", 'Margaret Island Japanese Garden\n7 km', 'Chain Bridge\n2.8 km', 'House of Terror\n4 km', 'Trinity Square\n3.3 km', 'Blaha Lujza Square\n3 km', 'Budapest History Museum\n2.3 km', ""Fisherman's Bastion\n3.2 km""]","['Cafe/BarBookline Webáruház\n550 m', 'Cafe/BarRex Williams Snooker & pub\n350 m', 'RestaurantPupicake\n600 m']","['TrainBoráros tér 2.3 km', 'SubwayMóricz Zsigmond körtér Metro Station 700 m', 'TrainClark Ádám tér 2.6 km', 'SubwaySzent Gellért Tér Metro Station 850 m']","['Budapest Ferenc Liszt International Airport\n16 km']","False","['English']","From 4:00 PM to 11:00 PM","Until 10:00 AM","True","['Garden', 'Heating', 'Free Wifi', 'Air conditioning']"
"Artist's quarter, Margit Apartment at the Danube","Amsterdam","1111 Budapest, Budafoki út 13, 5/3, Hungary Excellent location – rated 9.5/10!","9.2","['Trinity Square\n2.8 km', ""Heroes' Square\n4.9 km"", 'Museum of Applied Arts\n1.6 km', 'Budapest History Museum\n1.8 km', 'Buda Castle\n1.9 km', 'Blaha Lujza Square\n2.5 km', ""Fisherman's Bastion\n2.7 km"", 'House of Terror\n3.4 km', 'Margaret Island Japanese Garden\n6 km', 'Chain Bridge\n2.3 km']","['RestaurantSzeged Vendégló\n50 m', 'Cafe/BarSTARBUCKS\n30 m', 'RestaurantHummus bar\n100 m']","['SubwaySzent Gellért Tér Metro Station 100 m', 'TrainMüpa - Nemzeti Színház 2.8 km', 'TrainBoráros tér 1.7 km', 'SubwayFővám Square Metro Station 650 m']","['Budapest Ferenc Liszt International Airport\n14 km']","False","['Hungarian', 'English', 'German', 'Dutch', 'Russian']","From 3:00 PM","Until 10:00 AM","False","['Free Wifi', 'Air conditioning', 'Heating', 'Designated smoking area', 'Elevator', 'Non-smoking rooms']"
"Jewel In Buda Apartment","Amsterdam","1111 Budapest, 32 Bartók Béla út, Hungary Excellent location – rated 9.8/10!","9.6","['Blaha Lujza Square\n2.9 km', 'Trinity Square\n3.2 km', 'House of Terror\n3.9 km', ""Heroes' Square\n5 km"", 'Buda Castle\n2.3 km', 'Margaret Island Japanese Garden\n7 km', 'Museum of Applied Arts\n2.1 km', ""Fisherman's Bastion\n3.1 km"", 'Budapest History Museum\n2.3 km', 'Chain Bridge\n2.7 km']","['RestaurantOno Poké Bowl & bar\n40 m', 'RestaurantPho 74\n30 m', 'RestaurantBorpatika\n50 m']","['TrainMüpa - Nemzeti Színház 2.6 km', 'SubwayMóricz Zsigmond körtér Metro Station 450 m', 'TrainBoráros tér 1.7 km', 'SubwaySzent Gellért Tér Metro Station 600 m']","['Budapest Ferenc Liszt International Airport\n14 km']","False","['English', 'Hungarian', 'German']","From 4:00 PM to 9:00 PM","From 7:00 AM to 10:00 AM","False","['Airport shuttle', 'Facilities for disabled guests', 'Free Wifi', 'Air conditioning', 'Heating', 'Elevator', 'Baggage storage', 'Family rooms', 'Non-smoking rooms', 'Parking']"
"Spacious apartment in Budapest city centre with fireplace","Amsterdam","1111 Budapest, Bartok Bela ut 4, Hungary After booking, all of the property’s details, including telephone and address, are provided in your booking confirmation and your account.","","['Trinity Square\n2.8 km', ""Heroes' Square\n5 km"", 'Blaha Lujza Square\n2.4 km', 'Museum of Applied Arts\n1.7 km', 'Buda Castle\n1.9 km', ""Fisherman's Bastion\n2.7 km"", 'Margaret Island Japanese Garden\n6 km', 'Budapest History Museum\n1.9 km', 'House of Terror\n3.5 km', 'Chain Bridge\n2.3 km']","['RestaurantSzeged Vendégló\n50 m', 'Cafe/BarSTARBUCKS\n50 m', 'RestaurantHummus bar\n50 m']","['TrainMüpa - Nemzeti Színház 2.9 km', 'TrainBoráros tér 1.8 km', 'SubwaySzent Gellért Tér Metro Station 200 m', 'SubwayFővám Square Metro Station 700 m']","['Budapest Ferenc Liszt International Airport\n13 km']","False","['Castle Garden Bazaar1.7 km', 'Szabadság-híd450 m', 'Károlyi Garden1.5 km', 'Gellért Hill1.3 km', 'Arabic', 'Italian', 'Liberty Bridge450 m', 'French', 'German', 'English', 'Citadella1.2 km', 'Gellert Spa250 m', 'Ybl Budai Kreatív Ház1.5 km', 'Spanish', 'Hungarian National Museum1.2 km', 'Central Market700 m', 'Portuguese']","From 4:00 PM to 10:00 PM","From 7:00 AM to 10:00 AM","True","['Free Wifi']"
"Five Season's Apartment","Amsterdam","1111 Budapest, Bartók Béla út 4. 4/ 9., Hungary Excellent location – rated 9.5/10!","8.2","['Trinity Square\n2.8 km', ""Heroes' Square\n5 km"", 'Blaha Lujza Square\n2.4 km', 'Museum of Applied Arts\n1.7 km', 'Buda Castle\n1.9 km', ""Fisherman's Bastion\n2.7 km"", 'Margaret Island Japanese Garden\n6 km', 'Budapest History Museum\n1.9 km', 'House of Terror\n3.5 km', 'Chain Bridge\n2.3 km']","['Cafe/BarSTARBUCKS\n50 m', 'RestaurantHummus bar\n100 m', 'RestaurantGrill Mánia\n100 m']","['TrainMüpa - Nemzeti Színház 2.9 km', 'TrainBoráros tér 1.8 km', 'SubwaySzent Gellért Tér Metro Station 200 m', 'SubwayFővám Square Metro Station 700 m']","['Budapest Ferenc Liszt International Airport\n13 km']","False","['Castle Garden Bazaar1.7 km', 'Szabadság-híd450 m', 'Hungarian', 'Károlyi Garden1.5 km', 'Gellért Hill1.3 km', 'Liberty Bridge450 m', 'German', 'English', 'Citadella1.2 km', 'Gellert Spa250 m', 'Hungarian National Museum1.2 km', 'Central Market700 m', 'Ybl Budai Kreatív Ház1.6 km']","From 2:00 PM to 12:00 AM","From 1:00 AM to 11:00 AM","False","['Airport shuttle', 'Air conditioning', 'Terrace', 'Heating', 'Elevator', 'Fast free Wifi 176 Mbps)', 'Hot spring bath', 'Parking on site', 'Family rooms', 'Non-smoking rooms']"
"Amalia Hotel Athens","Athens","10, Amalias Ave, Athens, 105 57, Greece Excellent location – rated 9.7/10!","8.9","['Parthenon\n1.5 km', 'Museum of Cycladic Art\n850 m', 'Temple of Hephaestus\n1.2 km', 'Odeum of Herodes Atticus\n1.3 km', 'Roman Agora\n750 m', 'Acropolis Museum\n850 m', 'Temple of Olympion Zeus\n600 m', 'Ancient Agora of Athens\n1.4 km', 'Erechtheion\n950 m', 'Monastiraki Square\n900 m']","['Cafe/BarCOFFEE ISLAND\n50 m', 'RestaurantKamaronia\n100 m', 'Cafe/BarOdin Athens\n200 m']","['BusAthens International Bus Station 4.8 km', 'TrainTeleferik 1.3 km', 'SubwaySyntagma Metro Station 150 m', 'SubwayPanepistimio Metro Station 750 m', 'TrainMonastiraki Train Station 950 m']","['Eleftherios Venizelos Airport\n26 km']","False","['Italian', 'French', 'English', 'German', 'Spanish', 'Greek']","From 3:00 PM to 12:00 AM","From 3:00 AM to 11:00 AM","False","['Fitness center', 'Tea/Coffee Maker in All Rooms', '2 restaurants', 'Free Wifi', 'Bar', 'Excellent Breakfast', 'Room service', 'Family rooms', 'Non-smoking rooms', '24-hour front desk']"
"The Social Athens Hotel, a member of Radisson Individuals","Athens","Voukourestiou 30, Athens, 10671, Greece Excellent location – rated 9.8/10!","9.3","['Temple of Olympion Zeus\n1.2 km', 'Ancient Agora of Athens\n1.7 km', 'Roman Agora\n1.2 km', 'Erechtheion\n1.5 km', 'Museum of Cycladic Art\n600 m', 'Parthenon\n2 km', 'Zappion - National Garden\n550 m', 'Omonia Square\n1.3 km', 'Monastiraki Square\n1.2 km']","['Cafe/BarTaresso Artisan Coffee Roasters\n150 m', 'RestaurantTo Tsai\n100 m', 'Cafe/BarCoffee Love\n100 m']","['TrainMonastiraki Train Station 1.3 km', 'SubwayPanepistimio Metro Station 600 m', 'BusAthens International Bus Station 4.8 km', 'SubwaySyntagma Metro Station 400 m', 'TrainTeleferik 700 m']","['Eleftherios Venizelos Airport\n26 km']","False","['Italian', 'Arabic', 'French', 'English', 'German', 'Spanish', 'Greek']","From 3:00 PM","Until 11:00 AM","False","['Airport shuttle', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Free Wifi', 'Bar', 'Room service', 'Exceptional Breakfast', 'Restaurant', 'Non-smoking rooms', '24-hour front desk']"
